id,ra,dec
0000874,    13.967051,    40.356137
0000875,    13.369880,    41.369977
0000876,    14.917545,    40.527828
0000877,    15.079537,    41.410856
0000878,    14.153975,    41.356861
0000879,    13.859283,    40.560847
0000880,    14.239657,    40.592118
0000881,    13.234415,    41.720205
0000882,    13.649976,    41.230976
0000883,    15.162632,    40.554991
0000884,    14.730480,    41.424125
0000885,    14.648141,    42.258675
0000886,    14.701657,    41.420736
0000887,    13.234592,    41.564772
0000888,    14.169567,    41.805063
0000889,    14.628553,    41.080067
0000890,    14.590389,    40.700267
0000891,    13.248781,    41.575520
0000892,    13.974455,    41.595649
0000893,    13.440438,    41.682595
0000894,    14.489413,    40.346083
0000895,    14.883208,    41.270399
0000896,    14.998605,    41.069656
0000897,    13.445331,    41.671498
0000898,    15.105381,    40.575339
0000899,    13.494667,    41.712248
0000900,    15.007349,    41.797561
0000901,    14.431171,    41.919477
0000902,    13.503355,    41.185623
0000903,    13.904481,    41.432384
0000904,    14.187759,    40.806617
0000905,    13.664507,    41.042157
0000906,    13.260348,    41.285740
0000907,    14.005911,    40.791853
0000908,    15.062778,    40.380481
0000909,    14.430466,    40.924383
0000910,    13.787244,    41.738063
0000911,    13.385138,    41.807985
0000912,    15.021428,    41.993756
0000913,    13.723835,    40.794943
0000914,    13.896882,    41.796421
0000915,    14.668628,    41.495071
0000916,    13.927755,    40.458388
0000917,    13.295524,    40.562287
0000918,    14.938409,    41.852999
0000919,    14.211118,    41.817055
0000920,    14.997348,    41.733170
0000921,    14.016499,    41.760094
0000922,    14.411297,    42.122330
0000923,    13.628876,    41.926768
0000924,    14.789274,    42.207615
0000925,    14.025813,    40.418077
0000926,    14.990005,    41.406874
0000927,    14.835697,    42.079383
0000928,    13.225461,    40.318914
0000929,    14.176949,    40.279142
0000930,    13.866475,    41.402382
0000931,    13.346321,    40.561562
0000932,    15.171255,    41.515945
0000933,    13.387405,    41.364386
0000934,    13.827568,    40.911783
0000935,    14.635429,    41.889133
0000936,    13.587941,    40.531165
0000937,    14.071907,    41.325048
0000938,    13.893893,    40.436935
0000939,    14.894033,    41.932742
0000940,    14.163993,    40.396325
0000941,    14.971652,    40.451640
0000942,    13.518289,    40.726349
0000943,    14.603024,    41.734028
0000944,    13.465715,    41.613500
0000945,    14.357538,    41.451184
0000946,    13.774796,    40.525102
0000947,    14.781084,    40.929894
0000948,    14.514054,    40.452481
0000949,    14.533757,    41.605769
0000950,    14.240361,    40.533804
0000951,    14.149164,    40.271526
0000952,    13.579526,    41.669525
0000953,    13.858904,    41.640735
0000954,    15.099636,    41.748861
0000955,    13.751682,    41.046846
0000956,    14.875784,    40.712350
0000957,    13.989734,    41.493891
0000958,    13.731218,    40.714153
0000959,    13.432212,    41.852498
0000960,    13.301448,    41.493851
0000961,    15.037999,    40.589565
0000962,    13.899806,    41.901026
0000963,    13.338907,    41.343495
0000964,    14.954569,    41.361756
0000965,    13.962396,    41.872629
0000966,    13.744806,    41.715153
0000967,    14.518164,    41.033181
0000968,    14.538725,    42.197838
0000969,    14.610329,    40.955527
0000970,    15.007145,    41.446060
0000971,    14.103778,    42.064244
0000972,    14.592629,    41.018258
0000973,    13.880659,    42.101015
0000974,    14.070409,    40.941671
0000975,    14.082990,    40.334504
0000976,    15.207176,    41.305521
0000977,    13.745212,    42.044319
0000978,    13.940990,    41.894182
0000979,    14.331815,    42.186820
0000980,    13.883054,    40.336226
0000981,    13.519929,    41.541046
0000982,    13.750295,    40.848858
0000983,    13.457182,    40.816655
0000984,    14.716240,    40.389459
0000985,    14.532259,    40.555291
0000986,    14.228455,    40.738725
0000987,    14.070082,    41.973511
0000988,    13.462893,    41.386168
0000989,    14.938055,    41.806513
0000990,    14.595722,    41.277894
0000991,    14.688892,    41.804592
0000992,    13.639316,    40.357310
0000993,    15.026053,    41.313271
0000994,    13.483137,    42.044314
0000995,    14.109432,    40.775842
0000996,    13.439418,    41.050003
0000997,    14.442617,    40.682312
0000998,    14.265754,    40.358544
0000999,    13.486393,    40.990061
